y,pctile,accuracy,false_pos,false_neg
mean_vote,0.1,0.8600654664484452,0.4269911504424779,0.06383890317052271
mean_vote,0.2,0.7656314699792961,0.37845791642142435,0.11470795214637579
mean_vote,0.3,0.7018339171646404,0.36806387225548903,0.1383399209486166
mean_vote,0.4,0.6473651322641116,0.29474775397373876,0.23333333333333334
mean_vote,0.5,0.6513486513486514,0.24048751486325803,0.27643236857649145
mean_vote,0.6,0.6641424478100696,0.20129171151776104,0.3176805407328353
mean_vote,0.7,0.7153620761825031,0.1387989035634189,0.37788235294117645
mean_vote,0.8,0.7908898305084746,0.09337420419712332,0.40313778990450205
mean_vote,0.9,0.8730817088345085,0.05317062540858575,0.43550295857988164
profit,0.1,0.8631578947368421,0.4873096446700508,0.03850509626274066
profit,0.2,0.7258382642998028,0.470873786407767,0.09545454545454546
profit,0.3,0.671219512195122,0.4031936127744511,0.156794425087108
profit,0.4,0.5948717948717949,0.36619718309859156,0.22024623803009577
profit,0.5,0.62625250501002,0.28093158660844253,0.2631578947368421
profit,0.6,0.6196078431372549,0.22697795071335927,0.33437990580847726
profit,0.7,0.6857142857142857,0.17633136094674556,0.35891647855530473
profit,0.8,0.7957532861476239,0.10426008968609865,0.36454849498327757
profit,0.9,0.8816449348044132,0.04772004241781548,0.42441860465116277
